@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute outputs-1 {0,1,2,3}

@data
146,'2025/11/30 17:25:41:796',1,-0.576281,-0.110239,-0.234712,0.245444,2.836351,1.646544,0.044607,-0.357914,-1.740817,1
147,'2025/11/30 17:25:41:813',1,-0.576281,-0.110239,-0.234712,0.245444,2.836351,1.646544,0.044607,-0.357914,-1.740817,1
148,'2025/11/30 17:25:41:830',1,-0.576281,-0.110239,-0.234712,0.245444,2.836351,1.646544,0.044607,-0.357914,-1.740817,1
149,'2025/11/30 17:25:41:846',1,-0.576281,-0.110239,-0.234712,0.245444,2.836351,1.646544,0.044607,-0.357914,-1.740817,1
150,'2025/11/30 17:25:41:864',1,-0.576281,-0.110239,-0.234712,0.245444,2.836351,1.646544,0.044607,-0.357914,-1.740817,1
151,'2025/11/30 17:25:41:879',1,-0.576281,-0.110239,-0.234712,0.245444,2.836351,1.646544,0.044607,-0.357914,-1.740817,1
152,'2025/11/30 17:25:41:899',1,-0.576281,-0.110239,-0.234712,0.245444,2.836351,1.646544,0.044607,-0.357914,-1.740817,1
153,'2025/11/30 17:25:41:913',1,-0.737292,-0.23732,-0.05965,0.490363,0.164106,-0.697021,0.044067,-0.297737,-1.717502,1
154,'2025/11/30 17:25:41:932',1,-0.737292,-0.23732,-0.05965,0.490363,0.164106,-0.697021,0.044067,-0.297737,-1.717502,1
155,'2025/11/30 17:25:41:946',1,-0.054344,0.005097,0.15107,-0.525496,0.123938,-0.695266,0.097644,-0.294989,-1.813781,1
156,'2025/11/30 17:25:41:963',1,-0.054344,0.005097,0.15107,-0.525496,0.123938,-0.695266,0.097644,-0.294989,-1.813781,1
157,'2025/11/30 17:25:41:982',1,0.024379,0.044432,0.107063,-0.524043,-0.080227,-0.583308,0.087068,-0.293415,-1.841789,1
158,'2025/11/30 17:25:41:996',1,0.024379,0.044432,0.107063,-0.524043,-0.080227,-0.583308,0.087068,-0.293415,-1.841789,1
159,'2025/11/30 17:25:42:013',1,-0.001164,0.030897,0.100519,-0.719172,0.120352,-0.340357,0.071592,-0.291175,-1.863147,1
160,'2025/11/30 17:25:42:030',1,-0.001164,0.030897,0.100519,-0.719172,0.120352,-0.340357,0.071592,-0.291175,-1.863147,1
161,'2025/11/30 17:25:42:047',1,-0.058818,0.00913,0.063692,-0.905114,0.123469,-0.286797,0.050182,-0.286251,-1.878447,1
162,'2025/11/30 17:25:42:063',1,-0.058818,0.00913,0.063692,-0.905114,0.123469,-0.286797,0.050182,-0.286251,-1.878447,1
163,'2025/11/30 17:25:42:080',1,-0.181131,-0.035444,-0.037838,-0.809905,0.194179,-0.542874,0.024861,-0.280775,-1.900343,1
164,'2025/11/30 17:25:42:096',1,-0.181131,-0.035444,-0.037838,-0.809905,0.194179,-0.542874,0.024861,-0.280775,-1.900343,1
165,'2025/11/30 17:25:42:112',1,-0.206751,-0.027926,-0.022895,-0.810929,0.196621,-0.903044,0.004957,-0.273771,-1.931931,1
166,'2025/11/30 17:25:42:130',1,-0.206751,-0.027926,-0.022895,-0.810929,0.196621,-0.903044,0.004957,-0.273771,-1.931931,1
167,'2025/11/30 17:25:42:146',1,-0.234878,-0.021076,-0.020209,-1.001376,0.465009,-1.158879,-0.012486,-0.264286,-1.96933,1
168,'2025/11/30 17:25:42:163',1,-0.234878,-0.021076,-0.020209,-1.001376,0.465009,-1.158879,-0.012486,-0.264286,-1.96933,1
169,'2025/11/30 17:25:42:180',1,-0.31557,0.005934,-0.070408,-1.083622,0.797666,-1.422211,-0.037364,-0.243407,-2.021413,1
170,'2025/11/30 17:25:42:198',1,-0.31557,0.005934,-0.070408,-1.083622,0.797666,-1.422211,-0.037364,-0.243407,-2.021413,1
171,'2025/11/30 17:25:42:213',1,-0.484356,0.014895,-0.058493,-1.146862,1.061546,-2.14079,-0.06078,-0.215378,-2.08964,1
172,'2025/11/30 17:25:42:231',1,-0.484356,0.014895,-0.058493,-1.146862,1.061546,-2.14079,-0.06078,-0.215378,-2.08964,1
173,'2025/11/30 17:25:42:248',1,-0.651411,0.027011,-0.144442,-1.256104,2.147127,-3.135359,-0.0848,-0.169758,-2.18768,1
174,'2025/11/30 17:25:42:266',1,-0.544368,0.133141,-0.306353,-1.028109,2.813022,-3.900967,-0.105488,-0.104103,-2.298569,1
175,'2025/11/30 17:25:42:279',1,-0.544368,0.133141,-0.306353,-1.028109,2.813022,-3.900967,-0.105488,-0.104103,-2.298569,1
176,'2025/11/30 17:25:42:296',1,-0.544368,0.133141,-0.306353,-1.028109,2.813022,-3.900967,-0.105488,-0.104103,-2.298569,1
177,'2025/11/30 17:25:42:316',1,-0.416815,0.303115,-0.627073,0.729893,3.089253,-4.547828,-0.107431,-0.014713,-2.447449,1
178,'2025/11/30 17:25:42:331',1,-0.416815,0.303115,-0.627073,0.729893,3.089253,-4.547828,-0.107431,-0.014713,-2.447449,1
179,'2025/11/30 17:25:42:346',1,-0.401963,0.696076,-0.648217,3.427529,2.35358,-5.525338,-0.039224,0.067502,-2.624129,1
180,'2025/11/30 17:25:42:363',1,-0.401963,0.696076,-0.648217,3.427529,2.35358,-5.525338,-0.039224,0.067502,-2.624129,1
181,'2025/11/30 17:25:42:382',1,-0.278833,1.061333,-0.548172,5.478436,1.254231,-6.415694,0.075963,0.124652,-2.816629,1
182,'2025/11/30 17:25:42:397',1,-0.278833,1.061333,-0.548172,5.478436,1.254231,-6.415694,0.075963,0.124652,-2.816629,1
183,'2025/11/30 17:25:42:413',1,-0.05163,1.427447,-0.452475,7.261837,0.725594,-6.547179,0.261707,0.202369,-3.083421,1
