@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute drumOut-1 numeric

@data
465,'2025/12/01 11:22:12:616',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
466,'2025/12/01 11:22:12:635',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
467,'2025/12/01 11:22:12:652',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
468,'2025/12/01 11:22:12:666',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
469,'2025/12/01 11:22:12:685',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
470,'2025/12/01 11:22:12:701',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
471,'2025/12/01 11:22:12:718',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
472,'2025/12/01 11:22:12:734',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
473,'2025/12/01 11:22:12:749',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
474,'2025/12/01 11:22:12:768',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
475,'2025/12/01 11:22:12:784',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
476,'2025/12/01 11:22:12:801',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
477,'2025/12/01 11:22:12:817',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
478,'2025/12/01 11:22:12:835',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
479,'2025/12/01 11:22:12:851',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
480,'2025/12/01 11:22:12:869',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
481,'2025/12/01 11:22:12:884',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
482,'2025/12/01 11:22:12:901',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
483,'2025/12/01 11:22:12:916',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
484,'2025/12/01 11:22:12:936',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
485,'2025/12/01 11:22:12:951',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
486,'2025/12/01 11:22:12:967',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
487,'2025/12/01 11:22:12:982',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
488,'2025/12/01 11:22:13:001',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
489,'2025/12/01 11:22:13:018',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
490,'2025/12/01 11:22:13:035',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
491,'2025/12/01 11:22:13:049',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
492,'2025/12/01 11:22:13:067',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
493,'2025/12/01 11:22:13:086',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
494,'2025/12/01 11:22:13:102',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
495,'2025/12/01 11:22:13:118',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
496,'2025/12/01 11:22:13:134',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
497,'2025/12/01 11:22:13:151',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
498,'2025/12/01 11:22:13:167',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
499,'2025/12/01 11:22:13:185',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
500,'2025/12/01 11:22:13:199',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
501,'2025/12/01 11:22:13:218',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
502,'2025/12/01 11:22:13:234',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
503,'2025/12/01 11:22:13:249',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
504,'2025/12/01 11:22:13:270',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
